FrontEnd,,Assignee,Status,Deadline,Comment
"Компонент містить:
- зображення рецепта
- його назву
- короткий опис
- посилання на сторінку RecipePage у вигляді іконки - стрілочки
- кнопку типу ""button"" у вигляді іконки-смітника, по clickу на яку має відправлятись запит на backend про видалення рецепта з переліку власних рецептів або улюблених (залежно від вкладки, на якій перебуває користувач). Після чого картка з рецептом має зникнути з переліку без перезавантаження сторінки.",RecipePreview,Artem Getman,🐸,,
"Компонент містить:
- аватарку користувача
- його імʼя
- кількість власних рецептів користувача
- перелік рецептів користувача, що відмальовується на планшетних та десктопних девайсах
- посилання на сторінку UserPage
- кнопку
  для вкладки Followers
   -  типу ""button"" Follow, по clickу на яку має відправлятись запит на backend про додавання відповідного користувача до переліку 
користувачів, за профілями яких слідкує авторизований користувач, (після чого, замість кнопки має відмалюватись кнопка 
Following)або
  -  типу ""button"" Following, по clickу на яку має відправлятись запит на backend про видалення відповідного користувача з переліку 
користувачів, за профілями яких слідкує авторизований користувач, (після чого, замість кнопки має відмалюватись 
кнопка Follow)
  для вкладки Following
  -  типу ""button"" Following, по clickу на яку має відправлятись запит на backend про видалення відповідного користувача з переліку користувачів, за профілями яких слідкує авторизований користувач. Після чого картка з користувачем має зникнути з переліку без перезавантаження сторінки",UserCard,Artem Getman,🐸,,
"Необхідно реалізувати ""серверну"" пагінацію, по clickу по порядковому номеру якої слід відправляти відповідний запит на backend залежно від обраної вкладки, передаючи порядковий номер сторінки у вигляді параметрів. У разі видалення останнього елемента на сторінці, користувача слід перенаправляти на попередню сторінку.",ListPagination,Artem Getman,🐸,,
Modals,,Andrii Mashtaler,🐸,,
"Універсальний компонент, що відмальовує у модальному вікні контент,  переданий в якості children, та 1 функціональну кнопку типу ""button"" для її закриття. Модальне вікно повинно закриватись по clickу на кнопку-іконку закриття, clickу по backdropу, а також по натисканню на клавішу Escape. ",Modal,Andrii Mashtaler,🐸,,
"Компонент містить:
- заголовок
- SignUpForm
- кнопку типу ""button"" Sign in, по clickу на яку має відмалюватись SignInModal",SignUpModal,Andrii Mashtaler,🐸,,
"Компонент, що містить форму, яка складається з inputів Name, Email, Password та кнопки типу ""submit"" - Create. 

Input Password містить також кнопку типу ""button"" у вигляді іконки-ока(закресленого або ні). 
По clickу на кнопку з іконкою закресленого ока, іконка має змінитися на іконку відкритого ока, щоб візуалізувати користувачеві, що пароль тепер видимий. Пароль в цьому випадку має ставати читабельним у полі для введення, що дозволяє користувачеві переглянути його. 
По clickу на кнопку з іконкою відкритого ока, іконка має змінитися на іконку закресленого ока, щоб візуалізувати користувачеві, що пароль тепер прихований. Пароль в цьому випадку відмальовується у вигляді зірочок або інших замаскованих символів для захисту конфіденційності.

Усі дані, зазначені користувачем у формі, мають бути провалідовані по події submit за допомогою бібліотек  react-hook-form (для управління станом форми) + Yup (для валідації форми).
У разі наявності невалідних значень, причина помилки повинна бути відображена користувачеві, а дані - не відправлятися на backend. 
У разі, якщо всі значення валідні, - дані слід відправити на backend. 

Якщо backend повернув помилку - необхідно її опрацювати і відобразити користувачеві у вигляді вспливаючого віконечка-notification. 
Якщо запит на backend пройшов успішно та token для користувача сформовано - необхідно реалізувати автоматичну авторизацію. Після чого модальне вікно Modal має бути закрите.",SignUpForm,Andrii Mashtaler,🐸,,
"Компонент містить:
- заголовок
- SignInForm
- кнопку типу ""button"" Create an account, по clickу на яку має відмалюватись SignUpModal",SignInModal,Andrii Mashtaler,🐸,,
"Компонент, що містить форму, яка складається з inputів  Email і Password та кнопки типу ""submit"" - Sign in та має бути провалідована по події submit за допомогою бібліотек react-hook-form (для управління станом форми) + Yup (для валідації форми).
У разі наявності невалідних значень, причина помилки повинна бути відображена користувачеві, а дані - не відправлятися на backend. 
У разі, якщо всі значення валідні, - дані слід відправити на backend. 
Якщо backend повернув помилку - необхідно її опрацювати і відобразити користувачеві у вигляді вспливаючого віконечка-notification. 
Якщо запит на backend пройшов успішно та token для користувача сформовано,  модальне вікно Modal має бути закрите.",SignInForm,Andrii Mashtaler,🐸,,
"Компонент містить:
- питання
- кнопку типу ""button"" Cancel, по clickу на яку модальне вікно Modal має бути закрите
- кнопку типу ""button"" LogOut, по clickу на яку має відправлятися запит на backend, який видаляє активну сесію користувача. Незалежно від відповіді backenda, користувача слід деавторизувати ""на клієнті"", очистивши при цьому повністю redux store та localStorage. Після чого користувача має переадресувати на публічну сторінку HomePage",LogOutModal,Andrii Mashtaler,🐸,,
Презентація для демо,,👽,🐸,,
